"","int","outcome","LU","ORDER","name","value"
"1","Global changes","all","all",3,"MA",33
"2","Global changes","all","all",3,"ES",1840
"3","Global changes","all","all",3,"Data",55431
"4","Global changes","C","all",3,"MA",0
"5","Global changes","C","all",3,"ES",450
"6","Global changes","C","all",3,"Data",14420
"7","Global changes","all","Cropland",3,"MA",11
"8","Global changes","all","Cropland",3,"ES",51
"9","Global changes","all","Cropland",3,"Data",722
"10","Global changes","C","Cropland",3,"MA",0
"11","Global changes","C","Cropland",3,"ES",14
"12","Global changes","C","Cropland",3,"Data",221
"13","Global changes","all","Forest land",3,"MA",19
"14","Global changes","all","Forest land",3,"ES",239
"15","Global changes","all","Forest land",3,"Data",3551
"16","Global changes","C","Forest land",3,"MA",0
"17","Global changes","C","Forest land",3,"ES",61
"18","Global changes","C","Forest land",3,"Data",970
"19","Global changes","all","Grassland",3,"MA",15
"20","Global changes","all","Grassland",3,"ES",155
"21","Global changes","all","Grassland",3,"Data",2223
"22","Global changes","C","Grassland",3,"MA",0
"23","Global changes","C","Grassland",3,"ES",37
"24","Global changes","C","Grassland",3,"Data",526
"25","Global changes","all","Wetlands",3,"MA",7
"26","Global changes","all","Wetlands",3,"ES",52
"27","Global changes","all","Wetlands",3,"Data",208
"28","Global changes","C","Wetlands",3,"MA",0
"29","Global changes","C","Wetlands",3,"ES",61
"30","Global changes","C","Wetlands",3,"Data",236
"31","Global changes","all","Other land",3,"MA",36
"32","Global changes","all","Other land",3,"ES",1828
"33","Global changes","all","Other land",3,"Data",63438
"34","Global changes","C","Other land",3,"MA",0
"35","Global changes","C","Other land",3,"ES",619
"36","Global changes","C","Other land",3,"Data",24827
"37","Land use change","all","all",2,"MA",39
"38","Land use change","all","all",2,"ES",1525
"39","Land use change","all","all",2,"Data",44503
"40","Land use change","C","all",2,"MA",0
"41","Land use change","C","all",2,"ES",1001
"42","Land use change","C","all",2,"Data",31861
"43","Land use change","all","Cropland",2,"MA",24
"44","Land use change","all","Cropland",2,"ES",1061
"45","Land use change","all","Cropland",2,"Data",26224
"46","Land use change","C","Cropland",2,"MA",0
"47","Land use change","C","Cropland",2,"ES",736
"48","Land use change","C","Cropland",2,"Data",18820
"49","Land use change","all","Forest land",2,"MA",36
"50","Land use change","all","Forest land",2,"ES",1267
"51","Land use change","all","Forest land",2,"Data",34292
"52","Land use change","C","Forest land",2,"MA",0
"53","Land use change","C","Forest land",2,"ES",729
